"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Ошибка: ввод букв вместо числа","chromium","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","6074","Расчет штрафа: книга с просрочкой 5 дней (ID=1)","firefox","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","305","Ошибка: отрицательный ID (-5)","chromium","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","308","Data-Driven: 2 дня (штраф 20 руб.)","chromium","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","2840","Data-Driven: 2 дня (штраф 20 руб.)","firefox","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","2031","Ошибка: несуществующий ID книги (999)","firefox","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","3506","Data-Driven: 10 дней (штраф 50 руб.)","webkit","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","391","Расчет штрафа: книга с просрочкой 5 дней (ID=1)","chromium","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","4634","Data-Driven: 2 дня (штраф 20 руб.)","webkit","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","4660","Data-Driven: 5 дней (штраф 10 руб.)","webkit","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","2042","Data-Driven: 5 дней (штраф 10 руб.)","firefox","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","308","Data-Driven: 10 дней (штраф 50 руб.)","chromium","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","3992","Расчет штрафа: книга с просрочкой 5 дней (ID=1)","webkit","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","1784","Ошибка: отрицательный ID (-5)","firefox","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","1706","Ошибка: ввод букв вместо числа","firefox","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","3272","Ошибка: отрицательный ID (-5)","webkit","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","4971","Data-Driven: 0 дней (возвращена) (штраф 0 руб.)","webkit","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","2767","Ошибка: несуществующий ID книги (999)","webkit","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","308","Ошибка: несуществующий ID книги (999)","chromium","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","3139","Ошибка: ввод букв вместо числа","webkit","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","4959","Data-Driven: 0 дней (возвращена) (штраф 0 руб.)","firefox","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","328","Data-Driven: 0 дней (возвращена) (штраф 0 руб.)","chromium","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","316","Data-Driven: 5 дней (штраф 10 руб.)","chromium","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
"","2414","Data-Driven: 10 дней (штраф 50 руб.)","firefox","2026-04-13","passed","2026-04-13","Библиотечный штраф","main-flow.spec.js","",""
